Year,Region,Event_Type,Impact_Level,Casualties,Economic_Loss,Description
1873,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1873 with high impact.
1939,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1939 with medium impact.
1997,Middle East,Revolution,Medium,44109,0,A revolution occurred in Middle East around 1997 with medium impact.
1873,Oceania,War,Medium,968894,237498865,A war occurred in Oceania around 1873 with medium impact.
1967,North America,Reform,Medium,0,0,A reform occurred in North America around 1967 with medium impact.
1854,Asia,Pandemic,High,284303,0,A pandemic occurred in Asia around 1854 with high impact.
1943,Oceania,Economic Crisis,Low,0,58640574,A economic crisis occurred in Oceania around 1943 with low impact.
1957,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1957 with low impact.
1862,Europe,Reform,High,0,0,A reform occurred in Europe around 1862 with high impact.
1857,Oceania,Revolution,Low,105065,0,A revolution occurred in Oceania around 1857 with low impact.
1905,North America,Reform,Medium,0,0,A reform occurred in North America around 1905 with medium impact.
1825,Oceania,Pandemic,Low,5433,0,A pandemic occurred in Oceania around 1825 with low impact.
1940,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1940 with high impact.
1921,South America,Reform,Low,0,0,A reform occurred in South America around 1921 with low impact.
1993,North America,Economic Crisis,Medium,0,346763804,A economic crisis occurred in North America around 1993 with medium impact.
1815,Middle East,War,High,602022,124672269,A war occurred in Middle East around 1815 with high impact.
1936,Oceania,Reform,Low,0,0,A reform occurred in Oceania around 1936 with low impact.
1844,South America,Pandemic,Low,979288,0,A pandemic occurred in South America around 1844 with low impact.
1809,Middle East,Discovery,Medium,0,0,A discovery occurred in Middle East around 1809 with medium impact.
1847,Oceania,Pandemic,Medium,919331,0,A pandemic occurred in Oceania around 1847 with medium impact.
1809,Europe,Economic Crisis,High,0,323616641,A economic crisis occurred in Europe around 1809 with high impact.
1827,North America,Economic Crisis,Medium,0,344301978,A economic crisis occurred in North America around 1827 with medium impact.
1939,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1939 with low impact.
2017,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 2017 with medium impact.
1849,Middle East,War,Medium,170387,392516648,A war occurred in Middle East around 1849 with medium impact.
1917,Oceania,Economic Crisis,High,0,99964865,A economic crisis occurred in Oceania around 1917 with high impact.
1803,Oceania,Economic Crisis,Medium,0,304825222,A economic crisis occurred in Oceania around 1803 with medium impact.
1972,Middle East,Revolution,Low,640632,0,A revolution occurred in Middle East around 1972 with low impact.
2019,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 2019 with medium impact.
1931,North America,War,Medium,701765,51209488,A war occurred in North America around 1931 with medium impact.
1847,Asia,Discovery,Medium,0,0,A discovery occurred in Asia around 1847 with medium impact.
1863,Europe,Economic Crisis,Medium,0,126444509,A economic crisis occurred in Europe around 1863 with medium impact.
1914,Middle East,Economic Crisis,Medium,0,162105936,A economic crisis occurred in Middle East around 1914 with medium impact.
1949,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1949 with low impact.
1866,Oceania,Economic Crisis,High,0,126863981,A economic crisis occurred in Oceania around 1866 with high impact.
1815,Oceania,War,Medium,321709,85747318,A war occurred in Oceania around 1815 with medium impact.
1903,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1903 with high impact.
1997,North America,Reform,Low,0,0,A reform occurred in North America around 1997 with low impact.
1963,North America,Economic Crisis,High,0,118567533,A economic crisis occurred in North America around 1963 with high impact.
1856,Asia,Discovery,Low,0,0,A discovery occurred in Asia around 1856 with low impact.
1916,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1916 with medium impact.
1906,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1906 with medium impact.
1993,Africa,Pandemic,High,865708,0,A pandemic occurred in Africa around 1993 with high impact.
1855,Middle East,Revolution,High,791401,0,A revolution occurred in Middle East around 1855 with high impact.
1952,Middle East,Pandemic,Low,551033,0,A pandemic occurred in Middle East around 1952 with low impact.
1914,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1914 with medium impact.
1819,Africa,War,Low,869032,294016950,A war occurred in Africa around 1819 with low impact.
1929,Asia,Peace Treaty,High,0,0,A peace treaty occurred in Asia around 1929 with high impact.
1838,Asia,Economic Crisis,High,0,237211342,A economic crisis occurred in Asia around 1838 with high impact.
1829,Oceania,Revolution,High,611474,0,A revolution occurred in Oceania around 1829 with high impact.
1925,Europe,Peace Treaty,Medium,0,0,A peace treaty occurred in Europe around 1925 with medium impact.
2007,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 2007 with low impact.
1931,South America,Discovery,High,0,0,A discovery occurred in South America around 1931 with high impact.
1814,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1814 with high impact.
2006,North America,Reform,Low,0,0,A reform occurred in North America around 2006 with low impact.
1901,North America,Pandemic,Low,782032,0,A pandemic occurred in North America around 1901 with low impact.
1855,Africa,War,Low,444278,184967526,A war occurred in Africa around 1855 with low impact.
1979,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1979 with low impact.
1817,South America,War,Medium,428728,96626737,A war occurred in South America around 1817 with medium impact.
1996,Asia,Pandemic,High,764715,0,A pandemic occurred in Asia around 1996 with high impact.
1965,South America,Economic Crisis,Medium,0,240806539,A economic crisis occurred in South America around 1965 with medium impact.
1896,South America,War,High,693939,469522452,A war occurred in South America around 1896 with high impact.
1938,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1938 with medium impact.
1830,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1830 with medium impact.
1935,Asia,Reform,Low,0,0,A reform occurred in Asia around 1935 with low impact.
2013,Europe,Pandemic,Low,312856,0,A pandemic occurred in Europe around 2013 with low impact.
1918,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1918 with high impact.
1908,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1908 with low impact.
1863,South America,Economic Crisis,Low,0,147988322,A economic crisis occurred in South America around 1863 with low impact.
1848,Oceania,Pandemic,Low,33782,0,A pandemic occurred in Oceania around 1848 with low impact.
2007,Oceania,Discovery,High,0,0,A discovery occurred in Oceania around 2007 with high impact.
1996,Europe,Revolution,Low,70559,0,A revolution occurred in Europe around 1996 with low impact.
1825,Africa,War,Medium,626822,360789942,A war occurred in Africa around 1825 with medium impact.
1980,Middle East,War,Low,776513,23749414,A war occurred in Middle East around 1980 with low impact.
1902,South America,Revolution,High,227823,0,A revolution occurred in South America around 1902 with high impact.
1993,Middle East,Pandemic,Low,146942,0,A pandemic occurred in Middle East around 1993 with low impact.
1928,North America,Revolution,High,604095,0,A revolution occurred in North America around 1928 with high impact.
1881,Africa,Peace Treaty,High,0,0,A peace treaty occurred in Africa around 1881 with high impact.
2009,North America,Revolution,Medium,918823,0,A revolution occurred in North America around 2009 with medium impact.
1836,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1836 with low impact.
1905,North America,Economic Crisis,Low,0,298885761,A economic crisis occurred in North America around 1905 with low impact.
1951,Oceania,Revolution,High,711721,0,A revolution occurred in Oceania around 1951 with high impact.
1909,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1909 with low impact.
1888,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 1888 with medium impact.
2001,Africa,Economic Crisis,High,0,223512586,A economic crisis occurred in Africa around 2001 with high impact.
1904,Asia,Economic Crisis,Medium,0,98719274,A economic crisis occurred in Asia around 1904 with medium impact.
1993,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1993 with low impact.
2017,Asia,Economic Crisis,High,0,77498252,A economic crisis occurred in Asia around 2017 with high impact.
2006,South America,War,High,432723,223610957,A war occurred in South America around 2006 with high impact.
1942,Africa,Revolution,Medium,254655,0,A revolution occurred in Africa around 1942 with medium impact.
1865,Asia,Economic Crisis,High,0,42450614,A economic crisis occurred in Asia around 1865 with high impact.
1915,Middle East,Economic Crisis,Low,0,287567138,A economic crisis occurred in Middle East around 1915 with low impact.
1985,Middle East,Revolution,Low,281502,0,A revolution occurred in Middle East around 1985 with low impact.
1896,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1896 with high impact.
1810,Middle East,War,Low,843737,408932650,A war occurred in Middle East around 1810 with low impact.
1950,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1950 with high impact.
1855,South America,Revolution,Medium,317915,0,A revolution occurred in South America around 1855 with medium impact.
1803,Asia,Revolution,High,123014,0,A revolution occurred in Asia around 1803 with high impact.
1991,Middle East,Discovery,Low,0,0,A discovery occurred in Middle East around 1991 with low impact.
1978,Africa,Reform,Low,0,0,A reform occurred in Africa around 1978 with low impact.
1901,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1901 with medium impact.
1998,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1998 with medium impact.
1936,Oceania,Economic Crisis,Medium,0,140424830,A economic crisis occurred in Oceania around 1936 with medium impact.
1892,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1892 with medium impact.
1825,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1825 with medium impact.
1994,Middle East,Economic Crisis,Low,0,199020690,A economic crisis occurred in Middle East around 1994 with low impact.
1880,South America,War,High,906058,118795625,A war occurred in South America around 1880 with high impact.
1989,Asia,War,Medium,580189,313549739,A war occurred in Asia around 1989 with medium impact.
1948,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1948 with medium impact.
1839,Asia,Economic Crisis,Low,0,203924925,A economic crisis occurred in Asia around 1839 with low impact.
1945,Middle East,Revolution,Medium,577390,0,A revolution occurred in Middle East around 1945 with medium impact.
1967,Oceania,Economic Crisis,Medium,0,409826113,A economic crisis occurred in Oceania around 1967 with medium impact.
2010,South America,Reform,High,0,0,A reform occurred in South America around 2010 with high impact.
1989,South America,Discovery,Low,0,0,A discovery occurred in South America around 1989 with low impact.
1987,Middle East,Economic Crisis,Low,0,75139661,A economic crisis occurred in Middle East around 1987 with low impact.
1984,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1984 with low impact.
1938,Oceania,War,High,35466,450471466,A war occurred in Oceania around 1938 with high impact.
2016,Europe,Pandemic,High,50871,0,A pandemic occurred in Europe around 2016 with high impact.
1995,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 1995 with low impact.
2015,Oceania,Revolution,Low,741521,0,A revolution occurred in Oceania around 2015 with low impact.
1838,Europe,Revolution,High,478160,0,A revolution occurred in Europe around 1838 with high impact.
1895,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1895 with high impact.
1970,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1970 with high impact.
1924,Europe,War,High,578440,220835680,A war occurred in Europe around 1924 with high impact.
1803,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1803 with high impact.
1870,Africa,Economic Crisis,Low,0,269625176,A economic crisis occurred in Africa around 1870 with low impact.
2008,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 2008 with medium impact.
2006,Asia,War,Low,549857,79938730,A war occurred in Asia around 2006 with low impact.
1861,Asia,Peace Treaty,High,0,0,A peace treaty occurred in Asia around 1861 with high impact.
1864,Middle East,Economic Crisis,Medium,0,426778193,A economic crisis occurred in Middle East around 1864 with medium impact.
1901,Europe,Economic Crisis,Medium,0,246422538,A economic crisis occurred in Europe around 1901 with medium impact.
1944,Asia,Reform,Low,0,0,A reform occurred in Asia around 1944 with low impact.
1876,Oceania,Pandemic,Low,685491,0,A pandemic occurred in Oceania around 1876 with low impact.
2019,Oceania,Pandemic,Low,98042,0,A pandemic occurred in Oceania around 2019 with low impact.
1903,South America,Discovery,High,0,0,A discovery occurred in South America around 1903 with high impact.
1921,Europe,Reform,Low,0,0,A reform occurred in Europe around 1921 with low impact.
1979,Asia,War,Medium,886392,232953470,A war occurred in Asia around 1979 with medium impact.
1965,Middle East,Economic Crisis,High,0,460613933,A economic crisis occurred in Middle East around 1965 with high impact.
1824,Africa,War,Low,221686,483867235,A war occurred in Africa around 1824 with low impact.
1977,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1977 with medium impact.
1811,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1811 with medium impact.
1939,Africa,Reform,Low,0,0,A reform occurred in Africa around 1939 with low impact.
1845,Middle East,Economic Crisis,Low,0,111217167,A economic crisis occurred in Middle East around 1845 with low impact.
1950,Asia,Pandemic,High,860778,0,A pandemic occurred in Asia around 1950 with high impact.
1901,Europe,Economic Crisis,Low,0,302772754,A economic crisis occurred in Europe around 1901 with low impact.
1861,Africa,Pandemic,Medium,709922,0,A pandemic occurred in Africa around 1861 with medium impact.
1938,North America,Discovery,High,0,0,A discovery occurred in North America around 1938 with high impact.
1835,Middle East,Reform,High,0,0,A reform occurred in Middle East around 1835 with high impact.
1820,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1820 with medium impact.
1813,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 1813 with low impact.
2014,Europe,Economic Crisis,High,0,412856766,A economic crisis occurred in Europe around 2014 with high impact.
1957,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1957 with medium impact.
1807,Oceania,Economic Crisis,Medium,0,263390725,A economic crisis occurred in Oceania around 1807 with medium impact.
1858,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1858 with medium impact.
1910,Asia,Reform,High,0,0,A reform occurred in Asia around 1910 with high impact.
1969,South America,War,High,309727,428452611,A war occurred in South America around 1969 with high impact.
1863,Oceania,War,Low,280989,82796748,A war occurred in Oceania around 1863 with low impact.
1897,Oceania,Pandemic,High,161771,0,A pandemic occurred in Oceania around 1897 with high impact.
1989,South America,Economic Crisis,Medium,0,57204091,A economic crisis occurred in South America around 1989 with medium impact.
1823,Europe,Economic Crisis,Medium,0,193229233,A economic crisis occurred in Europe around 1823 with medium impact.
1994,North America,War,Low,91537,100605199,A war occurred in North America around 1994 with low impact.
1910,South America,Peace Treaty,High,0,0,A peace treaty occurred in South America around 1910 with high impact.
1931,South America,War,Low,93972,190006285,A war occurred in South America around 1931 with low impact.
1941,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1941 with high impact.
2000,North America,Pandemic,Medium,12940,0,A pandemic occurred in North America around 2000 with medium impact.
1874,South America,Discovery,Low,0,0,A discovery occurred in South America around 1874 with low impact.
1985,Africa,Revolution,High,546417,0,A revolution occurred in Africa around 1985 with high impact.
1843,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1843 with low impact.
1835,North America,Economic Crisis,Medium,0,264743900,A economic crisis occurred in North America around 1835 with medium impact.
1837,Europe,Revolution,Medium,289366,0,A revolution occurred in Europe around 1837 with medium impact.
1907,North America,Discovery,Low,0,0,A discovery occurred in North America around 1907 with low impact.
1892,North America,Revolution,High,655395,0,A revolution occurred in North America around 1892 with high impact.
1926,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1926 with low impact.
1917,Europe,Revolution,Medium,7096,0,A revolution occurred in Europe around 1917 with medium impact.
1901,North America,Pandemic,High,398343,0,A pandemic occurred in North America around 1901 with high impact.
2005,Middle East,Economic Crisis,Medium,0,179710140,A economic crisis occurred in Middle East around 2005 with medium impact.
1910,Middle East,Pandemic,High,623266,0,A pandemic occurred in Middle East around 1910 with high impact.
1834,North America,Economic Crisis,High,0,373282210,A economic crisis occurred in North America around 1834 with high impact.
1851,South America,Economic Crisis,Low,0,213803247,A economic crisis occurred in South America around 1851 with low impact.
1881,North America,Reform,High,0,0,A reform occurred in North America around 1881 with high impact.
1962,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1962 with low impact.
1883,South America,Economic Crisis,Medium,0,195966227,A economic crisis occurred in South America around 1883 with medium impact.
1829,Africa,Revolution,High,572133,0,A revolution occurred in Africa around 1829 with high impact.
1846,Oceania,Pandemic,High,28223,0,A pandemic occurred in Oceania around 1846 with high impact.
1986,South America,Reform,Low,0,0,A reform occurred in South America around 1986 with low impact.
1912,Middle East,Economic Crisis,High,0,37129277,A economic crisis occurred in Middle East around 1912 with high impact.
2009,Middle East,Pandemic,Medium,705668,0,A pandemic occurred in Middle East around 2009 with medium impact.
1927,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1927 with medium impact.
1861,North America,Reform,Low,0,0,A reform occurred in North America around 1861 with low impact.
1983,South America,Pandemic,Medium,77558,0,A pandemic occurred in South America around 1983 with medium impact.
1914,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1914 with high impact.
1902,Africa,Peace Treaty,High,0,0,A peace treaty occurred in Africa around 1902 with high impact.
1907,Africa,War,Medium,735716,480768712,A war occurred in Africa around 1907 with medium impact.
2007,Africa,Peace Treaty,High,0,0,A peace treaty occurred in Africa around 2007 with high impact.
1821,Europe,Pandemic,Low,689545,0,A pandemic occurred in Europe around 1821 with low impact.
1970,North America,Revolution,High,642439,0,A revolution occurred in North America around 1970 with high impact.
1811,Africa,Reform,High,0,0,A reform occurred in Africa around 1811 with high impact.
1965,South America,Pandemic,Medium,834908,0,A pandemic occurred in South America around 1965 with medium impact.
1910,Europe,War,Low,271306,119185923,A war occurred in Europe around 1910 with low impact.
1930,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1930 with high impact.
1948,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1948 with low impact.
1914,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1914 with medium impact.
1997,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1997 with high impact.
1928,Asia,Economic Crisis,Low,0,259185754,A economic crisis occurred in Asia around 1928 with low impact.
1826,North America,Discovery,Low,0,0,A discovery occurred in North America around 1826 with low impact.
1829,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1829 with low impact.
1889,North America,Economic Crisis,Medium,0,421051749,A economic crisis occurred in North America around 1889 with medium impact.
1852,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1852 with medium impact.
1921,Europe,Discovery,High,0,0,A discovery occurred in Europe around 1921 with high impact.
1978,South America,Economic Crisis,Low,0,161203053,A economic crisis occurred in South America around 1978 with low impact.
1811,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1811 with low impact.
1805,Middle East,Economic Crisis,High,0,58713640,A economic crisis occurred in Middle East around 1805 with high impact.
1973,Middle East,Revolution,High,255761,0,A revolution occurred in Middle East around 1973 with high impact.
1932,Asia,Peace Treaty,Low,0,0,A peace treaty occurred in Asia around 1932 with low impact.
1884,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1884 with medium impact.
1859,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1859 with high impact.
1847,Asia,Reform,High,0,0,A reform occurred in Asia around 1847 with high impact.
1910,South America,War,High,643937,474109295,A war occurred in South America around 1910 with high impact.
1850,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1850 with medium impact.
1899,Europe,Reform,Low,0,0,A reform occurred in Europe around 1899 with low impact.
1852,North America,Pandemic,High,848014,0,A pandemic occurred in North America around 1852 with high impact.
2003,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 2003 with low impact.
2004,Middle East,Peace Treaty,Low,0,0,A peace treaty occurred in Middle East around 2004 with low impact.
1893,North America,Revolution,Medium,119490,0,A revolution occurred in North America around 1893 with medium impact.
1867,Oceania,Pandemic,Medium,553349,0,A pandemic occurred in Oceania around 1867 with medium impact.
1963,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1963 with medium impact.
1956,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1956 with low impact.
1889,North America,Pandemic,Medium,647351,0,A pandemic occurred in North America around 1889 with medium impact.
1844,Middle East,Reform,High,0,0,A reform occurred in Middle East around 1844 with high impact.
2004,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 2004 with high impact.
1821,Oceania,Revolution,Medium,123586,0,A revolution occurred in Oceania around 1821 with medium impact.
1861,North America,War,Low,391439,372285911,A war occurred in North America around 1861 with low impact.
1836,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1836 with medium impact.
1952,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1952 with medium impact.
1908,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1908 with high impact.
1937,Oceania,Reform,Low,0,0,A reform occurred in Oceania around 1937 with low impact.
1942,Asia,Discovery,Medium,0,0,A discovery occurred in Asia around 1942 with medium impact.
1835,Asia,Economic Crisis,Medium,0,332543203,A economic crisis occurred in Asia around 1835 with medium impact.
1813,Middle East,Economic Crisis,Low,0,260172435,A economic crisis occurred in Middle East around 1813 with low impact.
1834,Asia,Pandemic,Medium,588861,0,A pandemic occurred in Asia around 1834 with medium impact.
1929,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1929 with medium impact.
1975,South America,Discovery,High,0,0,A discovery occurred in South America around 1975 with high impact.
2015,South America,Discovery,Low,0,0,A discovery occurred in South America around 2015 with low impact.
1821,Africa,War,Low,306278,17553041,A war occurred in Africa around 1821 with low impact.
1870,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1870 with medium impact.
1843,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1843 with high impact.
1990,Middle East,Pandemic,Medium,576429,0,A pandemic occurred in Middle East around 1990 with medium impact.
1930,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1930 with low impact.
1868,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 1868 with medium impact.
1938,Middle East,Pandemic,Low,796922,0,A pandemic occurred in Middle East around 1938 with low impact.
1984,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1984 with low impact.
1908,Europe,Reform,High,0,0,A reform occurred in Europe around 1908 with high impact.
1992,Asia,Economic Crisis,Low,0,241448214,A economic crisis occurred in Asia around 1992 with low impact.
1867,North America,Pandemic,Low,460398,0,A pandemic occurred in North America around 1867 with low impact.
1830,Middle East,Pandemic,Low,220073,0,A pandemic occurred in Middle East around 1830 with low impact.
2007,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 2007 with high impact.
1889,Middle East,Reform,High,0,0,A reform occurred in Middle East around 1889 with high impact.
1961,South America,Revolution,High,145998,0,A revolution occurred in South America around 1961 with high impact.
2000,Asia,Pandemic,Low,844565,0,A pandemic occurred in Asia around 2000 with low impact.
1815,Africa,Economic Crisis,High,0,150906371,A economic crisis occurred in Africa around 1815 with high impact.
1952,Africa,Revolution,Medium,738253,0,A revolution occurred in Africa around 1952 with medium impact.
1874,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1874 with medium impact.
2019,Africa,Reform,Low,0,0,A reform occurred in Africa around 2019 with low impact.
1834,Middle East,Pandemic,Medium,963398,0,A pandemic occurred in Middle East around 1834 with medium impact.
1815,North America,Pandemic,High,133051,0,A pandemic occurred in North America around 1815 with high impact.
1979,Middle East,Revolution,Low,153347,0,A revolution occurred in Middle East around 1979 with low impact.
1982,North America,Pandemic,Low,798462,0,A pandemic occurred in North America around 1982 with low impact.
2015,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 2015 with medium impact.
1836,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1836 with medium impact.
1960,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1960 with medium impact.
1819,Oceania,Pandemic,Low,422419,0,A pandemic occurred in Oceania around 1819 with low impact.
1931,Oceania,Economic Crisis,High,0,471006171,A economic crisis occurred in Oceania around 1931 with high impact.
1894,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1894 with medium impact.
1948,Europe,Pandemic,High,97666,0,A pandemic occurred in Europe around 1948 with high impact.
1987,South America,Reform,High,0,0,A reform occurred in South America around 1987 with high impact.
1978,North America,Pandemic,Low,834328,0,A pandemic occurred in North America around 1978 with low impact.
1936,South America,Revolution,Medium,864915,0,A revolution occurred in South America around 1936 with medium impact.
1854,South America,Economic Crisis,Medium,0,444713593,A economic crisis occurred in South America around 1854 with medium impact.
1872,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 1872 with high impact.
1833,Africa,Pandemic,Medium,826596,0,A pandemic occurred in Africa around 1833 with medium impact.
1887,Oceania,Pandemic,Low,48174,0,A pandemic occurred in Oceania around 1887 with low impact.
1825,Oceania,Pandemic,Medium,17072,0,A pandemic occurred in Oceania around 1825 with medium impact.
1831,Middle East,Revolution,Medium,478693,0,A revolution occurred in Middle East around 1831 with medium impact.
1800,South America,Revolution,High,953582,0,A revolution occurred in South America around 1800 with high impact.
1833,Oceania,Economic Crisis,Low,0,469452470,A economic crisis occurred in Oceania around 1833 with low impact.
1870,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1870 with medium impact.
1864,Europe,Economic Crisis,High,0,485224075,A economic crisis occurred in Europe around 1864 with high impact.
1966,Asia,War,Medium,655993,164019024,A war occurred in Asia around 1966 with medium impact.
1985,Oceania,Pandemic,Low,450081,0,A pandemic occurred in Oceania around 1985 with low impact.
1967,Europe,Reform,Low,0,0,A reform occurred in Europe around 1967 with low impact.
1800,Asia,Discovery,Low,0,0,A discovery occurred in Asia around 1800 with low impact.
1833,Africa,Revolution,High,713013,0,A revolution occurred in Africa around 1833 with high impact.
1913,Europe,War,High,360263,438682070,A war occurred in Europe around 1913 with high impact.
1830,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1830 with high impact.
1833,South America,War,Low,401677,47959257,A war occurred in South America around 1833 with low impact.
1987,Middle East,War,Low,328572,197333176,A war occurred in Middle East around 1987 with low impact.
1876,Asia,Discovery,Low,0,0,A discovery occurred in Asia around 1876 with low impact.
1964,Oceania,Revolution,Low,556278,0,A revolution occurred in Oceania around 1964 with low impact.
1944,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1944 with high impact.
1842,South America,Economic Crisis,High,0,114383272,A economic crisis occurred in South America around 1842 with high impact.
1960,Oceania,Revolution,Medium,646002,0,A revolution occurred in Oceania around 1960 with medium impact.
1975,South America,Pandemic,Low,90898,0,A pandemic occurred in South America around 1975 with low impact.
1825,Asia,Pandemic,Low,618213,0,A pandemic occurred in Asia around 1825 with low impact.
1986,South America,Economic Crisis,Medium,0,168847869,A economic crisis occurred in South America around 1986 with medium impact.
2002,Asia,Revolution,Medium,675933,0,A revolution occurred in Asia around 2002 with medium impact.
1821,Asia,Peace Treaty,High,0,0,A peace treaty occurred in Asia around 1821 with high impact.
1953,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1953 with medium impact.
1999,Oceania,War,High,918371,161946754,A war occurred in Oceania around 1999 with high impact.
1852,Africa,Peace Treaty,High,0,0,A peace treaty occurred in Africa around 1852 with high impact.
1848,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1848 with medium impact.
1965,Europe,Pandemic,Low,518927,0,A pandemic occurred in Europe around 1965 with low impact.
1898,Europe,Revolution,Medium,669077,0,A revolution occurred in Europe around 1898 with medium impact.
1952,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1952 with low impact.
1892,North America,Revolution,Medium,902628,0,A revolution occurred in North America around 1892 with medium impact.
2014,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 2014 with medium impact.
1939,Oceania,Revolution,Medium,807788,0,A revolution occurred in Oceania around 1939 with medium impact.
1818,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1818 with low impact.
1803,North America,Revolution,Low,967394,0,A revolution occurred in North America around 1803 with low impact.
1815,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1815 with high impact.
1873,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1873 with high impact.
1996,South America,Discovery,High,0,0,A discovery occurred in South America around 1996 with high impact.
